pos,player,school
P ,Georgina Corrick,University of South Florida
P,Jordy Bahl,University of Oklahoma
P,Kelly Maxwell,Oklahoma State University
C,Mia Davidson,Mississippi State University
1B,Danielle Gibson,"University of Arkansas, Fayetteville"
2B,Tiare Jennings,University of Oklahoma
3B ,Hannah Gammill,"University of Arkansas, Fayetteville"
SS,Baylee Klingler,University of Washington
OF,Rachel Lewis,Northwestern University
OF,Jayda Coleman,University of Oklahoma
OF,KB Sides,"University of Arkansas, Fayetteville"
UT/P ,Valerie Cagle,Clemson University
DP or UT/Non-P,Jocelyn Alo,University of Oklahoma
At-Large-P,Keely Rochard,Virginia Tech
At-Large-SS,Grace Lyons,University of Oklahoma
At-Large-P,Danielle Williams,Northwestern University
At-Large-DP or UT/Non-P,Linnie Malkin,"University of Arkansas, Fayetteville"
At-Large-1B,Cydney Sanders,Arizona State University
Position,Name,School
P,Chenise Delce,"University of Arkansas, Fayetteville"
P,Megan Faraimo,"University of California, Los Angeles"
P,Kathryn Sandercock,Florida State University
C,Delanie Wisz,"University of California, Los Angeles"
1B,Haley Lee,"Texas A&M University, College Station"
2B,Janae Jefferson,University of Texas at Austin
3B,Sydney Sherrill,Florida State University
SS,Erin Coffel,University of Kentucky
OF,Yannira Acuña,Arizona State University
OF,Addison Barnard,Wichita State University
OF,Bailey Vannoy,"University of North Carolina, Charlotte"
UT/P,Miranda Elish,Oklahoma State University
DP or UT/Non-P,Skylar Wallace,University of Florida
At-Large-P,Gabbie Plain,University of Washington
At-Large-SS,Sydney McKinney,Wichita State University
At-Large-2B,Allie Skaggs,University of Arizona
At-Large-3B,Sara Mosley,University of Georgia
At-Large-P,Montana Fouts,"University of Alabama, Tuscaloosa"
Position,Name,School
P,Mariah Mazon,Oregon State University
P,Hailey Dolcini,University of Texas at Austin
P,Peyton St. George,Duke University
C,Makena Smith,"University of California, Berkeley"
1B,Karina Gaskins,University of Notre Dame
2B,Cam Ybarra,"University of Nebraska, Lincoln"
3B,Karli Spaid,Miami University (Ohio)
SS,Jameson Kavel,Duke University
OF,Carmyn Greenwood,University of Louisville
OF,Emma Ritter,Virginia Tech
OF,Ellessa Bonstrom,University of Utah
UT/P ,Sierra Lange,George Washington University
DP or UT/Non-P,Mac Barbara,San Diego State University
At-Large-SS,Briana Perez,"University of California, Los Angeles"
At-Large-P,Bailey Parshall,Pennsylvania State University
At-Large-SS,Rachel Becker,Purdue University
At-Large-OF,Mya Stevenson,Marshall University
At-Large-DP or UT/Non-P,Lacey Fincher,University of Georgia
