player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Sydney McKinney,Wichita State,,0.522,0.566,0.849,1.415,51,186,69,97,12,5,13,38,3,16,14,12,3
Jocelyn Alo,Oklahoma,,0.515,0.646,1.212,1.858,62,165,84,85,13,0,34,1,9,54,0,0,0
Madison Carr,Utah Valley,,0.453,0.484,0.464,0.948,51,181,48,82,2,0,0,13,1,10,18,27,1
Cheyenne Cavanaugh,Belmont,,0.451,0.522,0.599,1.121,50,162,41,73,12,0,4,2,4,20,0,0,0
Shelby Echols,Houston Baptist,,0.448,0.494,0.565,1.059,45,154,32,69,9,3,1,14,1,13,12,6,3
Danielle Gibson,Arkansas,,0.445,0.502,0.852,1.354,59,182,54,81,14,0,20,3,5,16,0,0,0
Katie Keller,Northern Illinois,,0.443,0.521,0.764,1.285,45,140,40,62,20,2,7,45,0,26,9,15,3
Sierra Sacco,Louisiana Tech,,0.441,0.535,0.511,1.046,59,188,54,83,7,3,0,21,2,36,40,28,5
Biviana Figueroa,Prairie View,,0.438,0.506,0.657,1.163,45,137,30,60,15,0,5,0,4,16,0,0,0
Aly Harrell,Marshall,,0.437,0.606,0.789,1.395,53,142,41,62,11,0,13,38,17,44,11,1,0
Tatum Kresley,UMES,,0.437,0.468,0.506,0.974,51,174,40,76,2,5,0,21,1,10,12,40,9
Kailey Wilson,Creighton,,0.436,0.541,0.812,1.353,42,117,21,51,11,0,11,32,4,24,15,0,0
Baylee Klingler,Washington,,0.434,0.5,0.948,1.448,55,173,46,75,13,2,24,71,3,23,6,3,2
Kayla Roncin,Boston University,,0.431,0.476,0.612,1.088,57,188,49,81,12,5,4,36,3,15,15,8,1
Yannira Acuna,Arizona State,,0.43,0.568,0.852,1.42,54,149,63,64,19,1,14,3,20,29,0,0,0
Rachel Becker,Purdue,,0.429,0.522,0.662,1.184,55,154,43,66,15,3,5,17,1,30,16,6,2
Karina Gaskins,Notre Dame,,0.428,0.561,0.797,1.358,52,138,29,59,12,0,13,2,2,40,0,0,0
Mekenzie Saban,Saint Francis (PA),,0.427,0.495,0.667,1.162,55,171,44,73,23,3,4,29,4,23,10,10,4
Pal Egan,Texas A&M-Corpus Christi,,0.426,0.555,0.794,1.349,52,155,48,66,17,2,12,36,7,38,20,27,6
Cam Goodman,Southeastern Louisiana,,0.426,0.464,0.519,0.983,53,129,38,55,2,2,2,13,0,9,16,30,4
Brooke Ellestad,St. Thomas,,0.425,0.455,0.604,1.059,42,134,28,57,2,2,6,27,0,9,13,7,2
Cydney Sanders,Arizona State,,0.425,0.566,0.952,1.518,54,146,53,62,14,0,21,1,4,45,0,0,0
Jayda Coleman,Oklahoma,,0.424,0.587,0.667,1.254,62,144,70,61,9,1,8,1,5,52,0,0,0
McKenzie Wilson,Baylor,,0.424,0.534,0.606,1.14,56,165,53,70,11,5,3,29,5,34,18,27,8
Erin Coffel,Kentucky,,0.423,0.482,0.871,1.353,56,163,44,69,11,1,20,68,3,20,17,6,3
Kayla Kowalik,Kentucky,,0.42,0.498,0.619,1.117,56,181,57,76,11,2,7,28,0,29,20,17,1
Makiya Thomas,Coastal Carolina,,0.419,0.49,0.64,1.13,44,136,36,57,12,0,6,17,2,17,6,14,4
Sara Mosley,Georgia,,0.418,0.473,0.764,1.237,57,182,51,76,12,0,17,53,1,20,11,1,1
Summer Johnson,USC Upstate,,0.416,0.463,0.621,1.084,58,161,29,67,9,0,8,36,4,10,9,8,1
Jaden Pone,Longwood,,0.416,0.445,0.474,0.919,57,190,36,79,3,4,0,14,3,7,21,26,9
Emma Schutter,Dayton,,0.414,0.465,0.48,0.945,46,152,26,63,4,0,2,14,0,16,19,23,2
Kayla Falterman,Louisiana,,0.414,0.453,0.505,0.958,52,99,29,41,5,2,0,11,0,7,7,11,2
Makena Smith,California,,0.412,0.477,0.771,1.248,43,131,32,54,6,1,13,39,1,17,13,3,0
Aeriyl Mass,Southeastern Louisiana,,0.41,0.481,0.579,1.06,56,178,44,73,14,2,4,34,4,22,19,33,4
Kindall Deramus,Alabama State,,0.41,0.456,0.483,0.939,54,178,45,73,7,3,0,27,0,16,11,43,5
Lexi Osowski,Austin Peay,,0.408,0.497,0.777,1.274,53,157,42,64,15,2,13,46,8,24,6,2,0
Rylie Boone,Oklahoma,,0.408,0.436,0.512,0.948,60,125,43,51,5,1,2,0,1,6,0,0,0
Huntyr Ava,BYU,,0.408,0.492,0.796,1.288,52,147,31,60,9,0,16,2,4,23,0,0,0
Janae Jefferson,Texas,,0.407,0.479,0.624,1.103,70,226,74,92,24,2,7,34,2,31,12,16,2
Nia Carter,Iowa,,0.405,0.454,0.466,0.92,52,163,26,66,4,3,0,0,4,14,0,0,0
Delanie Wisz,UCLA,,0.405,0.512,0.767,1.279,61,163,44,66,9,1,16,4,6,31,0,0,0
Haley Lee,Texas A&M,,0.405,0.543,0.762,1.305,59,168,54,68,15,0,15,45,1,50,27,6,1
Megan Delgadillo,Cal State Fullerton,,0.404,0.464,0.444,0.908,58,198,57,80,8,0,0,1,5,17,0,0,0
Faith Hensley,Ball State,,0.404,0.533,0.814,1.347,52,156,51,63,7,3,17,40,6,37,27,13,3
Andrea Howard,New Mexico,,0.403,0.543,0.875,1.418,53,144,40,58,8,3,18,4,1,43,0,0,0
Tiare Jennings,Oklahoma,,0.401,0.509,0.94,1.449,62,182,83,73,9,1,29,1,1,39,0,0,0
Grace Lyons,Oklahoma,,0.401,0.486,0.864,1.35,62,177,67,71,7,3,23,4,8,22,0,0,0
Carmyn Greenwood,Louisville,,0.4,0.456,0.823,1.279,52,175,54,70,18,7,14,52,0,18,35,7,0
Emily Daniel,Dayton,,0.4,0.462,0.419,0.881,44,105,20,42,2,0,0,8,1,11,8,16,2
Emma Ritter,Virginia Tech,,0.4,0.474,0.661,1.135,56,165,53,66,11,4,8,40,5,21,6,23,2
London Jarrard,St. John's,,0.4,0.467,0.55,1.017,44,120,17,48,13,1,1,25,5,11,18,11,3
Cassie Lindmark,Penn State,,0.4,0.508,0.631,1.139,54,160,22,64,16,0,7,34,19,17,14,1,0
Cora Bassett,Indiana,,0.4,0.508,0.774,1.282,49,155,57,62,19,0,13,1,5,29,0,0,0
Violet Zavodnik,BYU,,0.399,0.487,0.882,1.369,52,153,49,61,13,2,19,2,8,22,0,0,0
Georgia Capell,Tarleton,,0.398,0.5,0.839,1.339,55,161,48,64,12,1,19,51,12,21,30,9,0
Kyleigh Sand,Rutgers,,0.398,0.495,0.497,0.992,55,171,49,68,12,1,1,23,2,33,9,23,5
Kristina Foreman,Duke,,0.398,0.47,0.797,1.267,48,128,41,51,6,0,15,56,6,14,26,8,2
Taylor Dadig,George Mason,,0.398,0.429,0.44,0.869,50,166,35,66,5,1,0,20,1,8,12,18,3
Taylor Davis,Western Kentucky,,0.397,0.447,0.436,0.883,51,156,42,62,4,1,0,19,2,12,6,20,5
Lexi Cobb,North Texas,,0.397,0.477,0.596,1.073,49,151,43,60,12,0,6,24,1,22,14,9,2
Gianna Nicoletti,Grand Canyon,,0.396,0.469,0.456,0.925,55,182,62,72,3,4,0,11,1,24,15,51,2
Jessica Clements,Cal Poly,,0.396,0.447,0.447,0.894,48,159,36,63,6,1,0,1,5,12,0,0,0
Mac Barbara,San Diego State,,0.395,0.493,0.802,1.295,55,172,32,68,14,1,18,61,0,34,24,6,1
Gracie Morton,Memphis,,0.395,0.431,0.539,0.97,54,167,33,66,6,3,4,19,2,10,22,6,4
Bella Peterson,Indiana State,,0.395,0.458,0.725,1.183,52,167,42,66,21,2,10,35,0,22,19,8,0
Ashley Trierweiler,Santa Clara,,0.394,0.433,0.471,0.904,51,170,36,67,9,2,0,0,1,13,0,0,0
Taylei Williams,BYU,,0.394,0.424,0.646,1.07,47,127,40,50,13,2,5,0,0,11,0,0,0
Tricia Awald,Georgia Tech,,0.393,0.568,0.703,1.271,56,145,28,57,16,1,9,43,12,52,30,1,0
Hannah Shifflett,James Madison,,0.393,0.468,0.8,1.268,42,135,42,53,10,0,15,39,0,20,22,7,3
Jourdyn Campbell,Louisiana,,0.392,0.449,0.703,1.152,52,148,31,58,11,1,11,35,6,11,20,8,4
Kelsey Hall,Boise State,,0.392,0.497,0.783,1.28,46,120,37,47,6,1,13,32,6,19,21,5,1
Kendra Falby,Florida,,0.392,0.444,0.493,0.937,68,217,63,85,7,3,3,26,1,21,44,36,5
Haeli Bryson,Tennessee Tech,,0.392,0.445,0.632,1.077,54,171,46,67,12,1,9,2,1,17,0,0,0
Briana Perez,UCLA,,0.392,0.448,0.726,1.174,61,186,49,73,18,7,10,1,4,17,0,0,0
Addison Barnard,Wichita State,,0.391,0.467,1.018,1.485,52,169,64,66,7,0,33,84,4,23,37,25,4
Tremere Harris,Central Arkansas,,0.391,0.469,0.467,0.936,58,184,49,72,10,2,0,26,0,28,24,27,1
Avrey Steiner,Illinois,,0.391,0.415,0.437,0.852,56,197,35,77,9,0,0,20,0,8,19,10,6
Abby Bumcrot,Boise State,,0.39,0.49,0.585,1.075,40,82,24,32,8,1,2,18,6,10,3,2,2
Lauren Stewart,Jackson State,,0.39,0.452,0.767,1.219,47,146,38,57,7,12,8,35,3,15,2,14,1
Jane Kronenberger,Notre Dame,,0.389,0.423,0.589,1.012,40,95,16,37,10,0,3,2,3,4,0,0,0
KB Sides,Arkansas,,0.389,0.511,0.706,1.217,59,180,67,70,12,3,13,3,1,45,0,0,0
Taylor Cates,Kennesaw State,,0.389,0.433,0.847,1.28,51,157,40,61,15,0,19,48,2,14,23,11,2
Brooke Johnson,DePaul,,0.389,0.515,0.745,1.26,53,157,40,61,15,1,13,2,4,37,0,0,0
Rozelyn Carrillo,South Dakota State,,0.389,0.437,0.651,1.088,54,175,46,68,13,0,11,47,2,16,16,2,0
Camryn Lyman,Long Island,,0.388,0.439,0.436,0.875,56,188,37,73,9,0,0,25,0,17,14,8,2
Emma Broadfoot,North Alabama,,0.388,0.484,0.64,1.124,60,178,41,69,15,0,10,61,3,31,23,1,0
Katelyn Dunckel,Grand Canyon,,0.388,0.466,0.6,1.066,55,160,51,62,11,1,7,55,14,13,20,14,4
Kaci Fuller,Tennessee-Martin,,0.388,0.429,0.503,0.932,53,165,34,64,6,2,3,21,2,12,20,5,1
Lauren Lucas,Wichita State,,0.387,0.461,0.684,1.145,52,155,41,60,12,2,10,39,0,22,24,5,2
Emily Gant,Boston University,,0.387,0.429,0.613,1.042,53,142,40,55,6,4,6,46,1,11,35,4,0
Tate Whitley,Ole Miss,,0.387,0.441,0.432,0.873,60,199,51,77,5,2,0,24,0,20,25,9,2
Jenny Jansen,Southern Illinois,,0.387,0.508,0.6,1.108,47,150,30,58,5,0,9,43,2,36,15,1,0
Skylar Wallace,Florida,,0.386,0.542,0.636,1.178,68,184,79,71,12,5,8,53,16,50,32,52,4
Erin Hufford,Canisius,,0.386,0.439,0.456,0.895,48,158,32,61,5,3,0,14,0,15,21,29,5
Sam Goodcase,Yale,,0.386,0.443,0.545,0.988,31,88,16,34,5,0,3,9,3,6,12,0,1
Addie Robinson,Jacksonville State,,0.384,0.476,0.744,1.22,43,86,17,33,4,0,9,37,5,12,20,0,0
Linnie Malkin,Arkansas,,0.384,0.464,0.87,1.334,51,146,32,56,5,0,22,0,6,16,0,0,0
Sara Berthiaume,Florida Atlantic,,0.384,0.429,0.604,1.033,55,164,33,63,10,7,4,34,4,11,17,11,3
Frankie Hammoude,Oregon State,,0.384,0.508,0.735,1.243,56,151,26,58,8,0,15,2,1,37,0,0,0
Alicia Peters,Green Bay,,0.383,0.507,0.783,1.29,48,115,29,44,10,0,12,26,4,25,24,5,0
Maygen McGrath,Montana,,0.383,0.466,0.758,1.224,47,149,36,57,5,0,17,35,5,20,13,1,0
Tatum Anzaldo,California,,0.383,0.425,0.508,0.933,56,193,35,74,10,1,4,24,1,13,19,9,3
Bri Avery,Butler,,0.382,0.4,0.4,0.8,48,110,21,42,2,0,0,10,1,3,22,20,2
Bailey Vannoy,Charlotte,,0.381,0.453,0.845,1.298,58,194,60,74,12,3,24,58,3,25,22,7,2
Isabella Espinoza,San Diego State,,0.381,0.405,0.392,0.797,53,176,39,67,0,1,0,12,0,8,12,15,3
Emily Coltharp,Chattanooga,,0.381,0.433,0.444,0.877,57,189,30,72,8,2,0,20,0,19,33,24,2
Logan Braundmeier,Murray State,,0.381,0.452,0.665,1.117,59,194,50,74,26,1,9,1,4,21,0,0,0
Hannah Hughbanks,Dixie State,,0.38,0.451,0.577,1.028,47,142,27,54,17,1,3,18,1,19,18,2,1
Logan Riggenbach,Portland State,,0.38,0.414,0.634,1.048,46,142,24,54,10,1,8,41,2,7,25,1,0
Lauren Fey,Butler,,0.38,0.454,0.408,0.862,47,142,23,54,4,0,0,7,1,19,8,18,7
Lexi King,SIU Edwardsville,,0.38,0.416,0.531,0.947,54,179,38,68,13,1,4,28,0,14,15,13,3
Briana Ramirez,Towson,,0.379,0.412,0.434,0.846,47,145,23,55,4,2,0,11,0,8,20,4,1
Morgan Hess,Presbyterian,,0.379,0.465,0.848,1.313,50,132,36,50,14,0,16,5,0,22,0,0,0
Jameson Kavel,Duke,,0.379,0.431,0.776,1.207,55,174,59,66,16,1,17,49,1,17,16,15,1
Danieca Coffey,LSU,,0.379,0.457,0.474,0.931,57,190,44,72,9,3,1,1,1,27,0,0,0
Miah McDonald,Marist,,0.379,0.44,0.621,1.061,54,161,37,61,10,4,7,47,2,18,29,24,1
Grace Gressly,Dayton,,0.379,0.469,0.442,0.911,39,95,4,36,6,0,0,19,2,15,14,0,0
Sofia Morales,UNLV,,0.378,0.414,0.423,0.837,57,156,40,59,3,2,0,18,0,11,11,6,3
Andreya Flores,Fairleigh Dickinson,,0.378,0.444,0.566,1.01,47,143,10,54,9,0,6,30,7,11,6,2,0
Samaria Jackson,Arkansas-Pine Bluff,,0.377,0.419,0.736,1.155,40,106,23,40,5,3,9,21,0,9,17,1,0
Annalia Paoli,Ohio,,0.377,0.446,0.678,1.124,48,146,34,55,5,3,11,39,1,18,16,8,2
Mia Scott,Texas,,0.377,0.443,0.554,0.997,64,204,62,77,14,5,4,38,0,25,29,26,2
Faith Hoe,Weber State,,0.377,0.443,0.532,0.975,50,154,45,58,12,3,2,41,3,20,28,6,0
Gabrielle Callaway,Rutgers,,0.377,0.472,0.649,1.121,55,154,39,58,10,1,10,47,12,21,21,13,1
Jessi Alcala,Cal State Fullerton,,0.377,0.41,0.596,1.006,54,151,26,57,12,0,7,0,4,7,0,0,0
Mack Leonard,Florida State,,0.377,0.473,0.611,1.084,60,175,31,66,15,1,8,2,1,31,0,0,0
Logan Morris,NC State,,0.377,0.484,0.688,1.172,55,154,34,58,9,0,13,44,7,26,16,3,0
Marlaina Bozek,George Mason,,0.377,0.485,0.449,0.934,50,138,25,52,8,1,0,23,4,25,21,11,5
Sam Hackenbracht,Ohio State,,0.377,0.444,0.755,1.199,53,159,33,60,12,0,16,4,3,16,0,0,0
